"","TCGA.B0.5701.01A.11R.1541.07","TCGA.D3.A2JP.06A.11R.A18S.07","TCGA.D3.A3MV.06A.11R.A21D.07","TCGA.D3.A8GB.06A.11R.A37K.07","TCGA.DA.A3F2.06A.11R.A20F.07","TCGA.EB.A5KH.06A.11R.A27Q.07","TCGA.EB.A5SH.06A.11R.A311.07","TCGA.EB.A6QY.01A.12R.A32P.07","TCGA.EE.A2GS.06A.12R.A18S.07","TCGA.EE.A3JI.06A.11R.A21D.07","TCGA.ER.A19M.06A.61R.A239.07","TCGA.FR.A3YN.06A.11R.A239.07","TCGA.FR.A44A.06A.11R.A24X.07","TCGA.FR.A7U8.06A.21R.A352.07","TCGA.FW.A3R5.06A.11R.A239.07","TCGA.FW.A3TV.06A.11R.A239.07","TCGA.GF.A3OT.06A.23R.A239.07","TCGA.GN.A4U3.06A.11R.A32P.07","TCGA.GN.A4U4.06A.11R.A32P.07","TCGA.GN.A4U5.01A.11R.A32P.07","TCGA.GN.A4U9.06A.11R.A32P.07","TCGA.GN.A8LN.01A.11R.A37K.07","TCGA.HR.A2OH.06A.11R.A18U.07","TCGA.QB.AA9O.06A.11R.A39D.07","TCGA.W3.A825.06A.11R.A352.07","TCGA.W3.AA1Q.06A.11R.A38C.07","TCGA.W3.AA1R.06A.11R.A39D.07","TCGA.W3.AA1W.06A.11R.A38C.07","TCGA.WE.AAA0.06A.11R.A38C.07","TCGA.YG.AA3O.06A.11R.A38C.07"
"ENSG00000149131.17",38777,41634,4427,22442,52772,2216,3054,2612,20445,11834,29534,14931,41780,2552,6881,6302,13149,3548,1998,49351,6780,21852,39264,12550,23517,14292,7276,33396,9721,5630
"ENSG00000149257.16",7063,18761,27830,18595,14889,10900,26479,3468,43576,13385,38631,3578,12711,50158,11587,7732,44554,8510,14573,13503,24970,20182,11603,4969,37656,8287,8338,6208,5575,9476
"ENSG00000151655.19",29,7,38,879,2,1,2,11,3,31,3,10,5,8,18,4,1,43,15,5,5,39,5,2,18,3,42,11,8,8
"ENSG00000154175.18",7704,1584,176,1506,442,261,147,177,1402,40,321,422,1071,40,1255,457,1638,25,292,353,98,406,1344,119,374,300,87,868,592,427
"ENSG00000159189.12",8287,27620,6460,7184,43119,1256,4084,1489,10954,20918,19416,9966,63627,3313,4240,9523,13091,4475,2064,10082,4092,6651,79634,5126,17993,4205,4802,60712,3967,5837
"ENSG00000160213.9",9721,18996,9820,43454,21398,12040,4745,42184,11408,10355,9482,33771,18248,38358,27315,48224,10265,8373,6687,25534,2675,5288,23085,13546,5482,6328,9518,24320,24810,10785
"ENSG00000160678.12",652,1481,471,2024,5,15,7,194,1035,779,188,1747,969,795,54,714,3,2311,1633,1501,51,285,435,854,33,655,761,395,1258,492
"ENSG00000163191.6",16403,23698,11595,35567,26716,19609,12373,30789,16228,10944,17323,16243,30548,9916,13701,27913,51043,11349,14963,37586,14369,8109,19663,30434,9291,13519,18395,22061,26805,32028
"ENSG00000163220.11",555,954,1037,1096,1388,51,67,122647,274,360,954,177,2552,296,312,232,1319,855,109,106172,851,683,2447,426,990,69,456,1410,274,185
"ENSG00000163359.16",1954,13098,20983,24478,134275,9008,5542,11631,21634,5590,47816,9476,38945,5859,44036,25624,1181312,1371,5133,11917,14135,4665,13839,3105,62703,6050,5717,8934,10777,22391
"ENSG00000163520.14",1802,5075,476,7005,14529,699,1731,1207,3109,151,2578,771,3204,403,2191,1288,44759,274,786,2071,823,496,1735,314,3588,1327,269,334,630,1632
"ENSG00000163810.12",1,3,5,1,0,0,0,1,7,4,2,0,1,38,1,0,1,3,0,2,6,3,0,0,8,0,0,0,0,578
"ENSG00000163815.6",96,68,7,562,185,39,82,40,154,39,17,29,20,16,70,62,4,33,40,67,17,30,24,12,114,11,13,22,68,43
"ENSG00000164111.15",18009,49335,51592,28967,13332,78341,69502,94326,127689,71770,64488,118869,68006,43393,107907,103282,25734,32297,64431,91424,12140,51281,49283,20423,14292,50500,89386,43171,82184,52922
"ENSG00000164692.18",16944,302304,57011,122205,763545,19415,12629,31444,196970,13962,139424,10487,51464,15973,89032,56191,281905,22444,7827,37863,53219,64739,17844,10897,178577,19598,5408,7573,48119,64428
"ENSG00000164733.22",75784,340719,156936,75721,217056,57595,254609,87974,31595,61783,226343,145718,404576,53138,86093,261629,262971,293290,62247,89779,27511,60630,241946,37144,85932,45310,53782,151636,77549,100683
"ENSG00000166147.14",2503,2401,4316,11116,9028,1847,592,1485,6909,1847,7378,1216,4198,626,4807,4156,109679,335,1339,2604,737,3513,1645,259,12540,904,413,1262,2415,3712
"ENSG00000166482.12",235,2178,58,1239,5601,826,939,307,942,106,554,265,745,64,936,723,101,61,542,639,3702,260,367,81,2868,235,108,312,825,408
"ENSG00000168056.17",4353,18336,13220,4484,8104,10816,7957,1192,19535,10707,7569,4738,9483,7034,7660,6144,11223,9896,5637,8358,5425,17848,6088,3428,9213,3814,5825,2961,9275,2060
"ENSG00000168477.19",428,369,129,2850,1367,510,401,169,810,186,168,166,52,179,465,436,167,83,213,176,410,66,38,66,494,276,70,115,212,162
"ENSG00000168542.16",7318,39715,59873,129114,548128,13923,9069,31985,50983,13966,153484,10439,69117,13708,119133,41478,254487,2426,10055,22391,69264,8100,19940,5880,108087,19191,5626,8644,11728,62901
"ENSG00000168743.13",684,7134,99,122,47,65,78,125,306,8,251,29,146,129,227,172,211,6,119,105,162,78,93,19,323,26,50,72,86,96
"ENSG00000171557.17",5208,0,7,591,0,0,0,1,0,1,1,0,0,0,0,23,0,0,1,1,0,10,0,10,118,0,20,2,0,1
"ENSG00000171560.16",919,1,0,1096,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,12,0,26,0,1,0
"ENSG00000171564.12",3347,0,0,829,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,4,38,0,21,0,0,0
