"","TCGA-DA-A3F2-06A-11R-A20F-07","TCGA-EE-A2GS-06A-12R-A18S-07","TCGA-EE-A3JI-06A-11R-A21D-07","TCGA-FR-A3YN-06A-11R-A239-07","TCGA-GF-A3OT-06A-23R-A239-07","TCGA-GN-A4U4-06A-11R-A32P-07","TCGA-GN-A4U9-06A-11R-A32P-07","TCGA-GN-A8LK-06A-11R-A37K-07","TCGA-GN-A8LN-01A-11R-A37K-07","TCGA-QB-AA9O-06A-11R-A39D-07","TCGA-WE-A8K5-06A-11R-A37K-07","TCGA-WE-A8ZN-06A-11R-A37K-07","TCGA-WE-AAA0-06A-11R-A38C-07"
"ENSG00000162521.19",1204,10805,12976,14650,4624,7919,11326,3217,3704,1192,4895,1088,7355
"ENSG00000162522.11",921,2623,4335,5300,2276,2099,1781,3357,1238,1098,1179,3514,1942
"ENSG00000162526.7",0,6,33,26,1,22,9,6,10,2,8,4,13
"ENSG00000162542.13",817,1410,110,3225,635,2039,524,1526,676,657,1676,1148,1476
"ENSG00000162543.6",124,812,4,855,15,323,377,234,112,250,40,72,693
"ENSG00000162545.6",822,663,367,1317,2721,1318,184,1295,113,1058,1133,346,217
"ENSG00000162551.14",2787,492,154,278,1259,123,312,118,68,630,287,375,257
"ENSG00000162552.15",55,190,197,206,3,131,19,466,33,54,824,176,585
"ENSG00000162571.14",1,3,1,1,1,2,2,7,0,0,3,6,2
"ENSG00000162572.21",32,55,492,569,31,498,235,144,365,59,404,137,139
"ENSG00000162576.17",23015,2434,619,684,1797,521,3974,215,749,866,3453,2623,434
"ENSG00000162585.17",2047,4728,3890,4527,3540,3134,2545,6936,5031,2394,3783,2531,5109
"ENSG00000162591.16",915,200,1579,608,107,2063,2539,849,1018,853,2331,1959,277
"ENSG00000162592.10",0,5,11,6,0,5,13,2,11,2,8,0,0
"ENSG00000162594.16",2,1,3,2,0,2,7,0,1,5,2,0,1
"ENSG00000162595.7",3,45,44,17,8,29,70,3,103,6,87,11,26
"ENSG00000162598.13",0,2,1,0,0,4,0,0,0,0,0,0,0
"ENSG00000162599.17",297,7444,2820,1542,331,1907,3251,862,4768,149,2208,354,556
"ENSG00000162600.12",76,639,1046,1439,314,1046,233,382,510,150,276,107,911
"ENSG00000162601.11",62,958,9785,2078,1309,3710,1972,652,2643,296,1705,310,2758
"ENSG00000162604.12",300,1184,3451,5063,1107,1785,1318,824,2123,304,995,255,2414
"ENSG00000162607.13",165,3810,7724,3977,4051,2701,5695,956,2779,887,2309,480,4416
"ENSG00000162613.17",713,7048,7937,10838,4754,7942,9552,1850,4547,1706,4069,1449,9584
"ENSG00000162614.19",101,195,146,127,560,108,51,18,125,17,127,66,416
"ENSG00000162616.9",81,866,4486,2990,1649,662,424,191,705,110,515,149,2555
"ENSG00000162618.15",173,755,312,186,4588,266,869,101,204,107,455,292,437
"ENSG00000162620.16",3,16,264,250,61,40,49,44,117,22,29,24,132
"ENSG00000162621.7",0,0,0,1,0,1,0,0,0,0,0,0,0
"ENSG00000162623.16",115,1968,4177,4083,1723,2336,961,370,1664,449,1084,291,2016
"ENSG00000162624.14",1,2,4,45,6,1,3,0,0,5,4,1,6
"ENSG00000162627.17",154,1337,18,3629,1951,1464,53,281,1738,329,1504,332,2900
"ENSG00000162630.6",1,81,189,10,4,128,6,3,221,0,16,2,18
"ENSG00000162631.19",19,41,8,185,4855,14,278,35,82,12,7,180,43
"ENSG00000162636.16",254,2869,4086,2859,1959,2336,1433,236,1981,3713,904,285,3875
"ENSG00000162639.16",211,854,64,941,927,641,1370,347,601,617,137,66,1114
"ENSG00000162641.20",2,15,45,11,15,3,10,0,27,19,11,1,69
"ENSG00000162642.14",89,950,2334,1738,1222,1117,1414,240,1886,379,863,219,1324
"ENSG00000162643.13",0,1517,5049,888,143,78,5,65,934,2,88,194,286
"ENSG00000162645.13",3509,3871,15856,6892,3826,620,893,183,3366,4516,4280,2469,3576
"ENSG00000162650.16",180,526,785,757,377,202,966,159,581,168,534,262,621
"ENSG00000162654.9",1299,2822,10003,7494,2980,775,786,109,996,857,9433,2146,2193
"ENSG00000162664.17",137,2678,4042,3282,1711,3084,3024,1015,2411,652,2814,367,2460
"ENSG00000162669.16",0,81,76,224,7,65,242,13,140,7,44,13,60
"ENSG00000162670.11",6,112,0,0,6,0,0,2,0,0,0,0,3
"ENSG00000162676.12",352,645,90,116,150,51,108,48,47,61,125,103,77
"ENSG00000162685.6",0,3,0,1,0,1,4,0,1,0,1,0,0
"ENSG00000162687.19",1,80,7,28,25,18,648,1,8,0,429,7,57
"ENSG00000162688.17",95,2294,3681,4054,983,2768,1045,164,1441,522,1368,211,2740
"ENSG00000162692.12",1536,5697,1224,812,1154,1306,853,22,650,197,2157,321,1110
"ENSG00000162694.14",112,3259,3643,5062,3216,2392,4093,277,4389,493,1377,217,2178
"ENSG00000162695.12",365,3288,3358,5633,3479,1516,2294,457,2902,717,1389,396,3720
"ENSG00000162699.5",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162702.8",298,3360,4300,3859,5056,3994,3795,882,1420,257,1339,205,1608
"ENSG00000162704.16",2966,16308,10259,8720,21420,9750,10769,5342,12011,3865,16566,2972,15983
"ENSG00000162706.13",27,31,1,42,153,24,12,3,35,7,56,109,133
"ENSG00000162711.18",308,232,199,134,2099,52,161,11,181,34,177,50,138
"ENSG00000162714.12",1288,7702,4285,2320,3086,5080,12740,2099,3692,943,3349,1375,2918
"ENSG00000162722.9",36,1527,5,1773,212,9,48,616,3,3,12,10,3
"ENSG00000162723.10",10,39,1,92,6,9,29,889,309,172,2,5,23
"ENSG00000162727.3",0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000162728.5",1,3,2,11,0,0,18,2,4,1,4,2,2
"ENSG00000162729.14",2030,11114,6103,43516,1258,10257,3575,25253,7878,10775,12559,13801,15774
"ENSG00000162733.19",613,11305,22600,7603,10139,9091,3351,68,4768,694,7896,502,5150
"ENSG00000162734.13",6871,21138,17368,22504,24425,9196,12801,10984,11506,8336,15503,8359,12516
"ENSG00000162735.19",789,7837,5838,7969,2091,4110,3620,2836,2584,1441,3757,912,3390
"ENSG00000162736.17",4945,14392,10869,14397,11489,14130,8105,6670,10695,2909,7976,3168,11780
"ENSG00000162738.6",245,6180,4038,4794,257,4254,12495,1128,5207,131,4455,409,614
"ENSG00000162739.14",1436,149,138,638,186,154,74,9,62,193,170,214,366
"ENSG00000162745.10",17520,1738,596,873,8052,477,1160,1147,857,357,5884,1455,3591
"ENSG00000162746.14",49,606,124,490,250,262,144,91,412,55,180,48,82
"ENSG00000162747.12",8,1,28,51,69,1,10,3,18,7,8,3,2
"ENSG00000162753.13",0,74,2,2,0,4,19,1,13,2,0,0,2
"ENSG00000162755.14",6,4,0,33,11,3,135,2,13,227,4,158,69
"ENSG00000162757.4",45,582,392,668,299,559,573,247,327,104,176,127,451
"ENSG00000162761.14",9,4,0,2,0,0,0,1,0,0,1,9,0
"ENSG00000162763.4",0,4,12,0,0,11,1,0,11,2,3,2,14
"ENSG00000162769.13",68,1080,2059,1844,303,997,3096,394,934,193,638,195,809
"ENSG00000162771.8",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162772.17",255,216,7454,458,5763,215,651,268,535,73,356,263,400
"ENSG00000162775.16",187,1275,1417,1191,744,954,1024,345,768,330,507,297,981
"ENSG00000162777.17",1875,1766,428,11522,365,192,150,622,115,305,343,956,2045
"ENSG00000162779.22",0,2,0,31,10,3,14,10,1,0,3,3,12
"ENSG00000162782.16",0,172,0,40,0,0,232,18,0,0,0,0,3
